date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,ml_cash_signal_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2022-12-19,C4_TRIGGER,731208.1594452166,0.8521602165707773,150493.22728500003,20,0.06000917718600418,5305.130410425003,0.00017182539682539683,1,0,149,79,133,0,311,10,1,731.1669587673813
2022-12-20,C4_TRIGGER,744728.342922637,150519.93815013717,39531.0247725,20,0.06035865349718471,5315.015637925003,0.00017182539682539683,1,0,151,80,133,3,314,10,0,744.6863804361203
2022-12-21,C4_TRIGGER,750049.6885047585,190083.61850475843,0.0,20,0.0630510227852724,5315.015637925003,0.00017182539682539683,1,0,151,80,133,3,314,10,0,750.0074261815372
2022-12-22,C4_TRIGGER,743910.859697938,190116.27969793804,0.0,20,0.0631164330885895,5315.015637925003,0.00017182539682539683,0,0,151,80,133,2,314,10,0,743.8689432733566
2022-12-23,C4_TRIGGER,745721.7065031402,190148.94650314012,0.0,20,0.06137490648437665,5315.015637925003,0.00017182539682539683,0,0,151,80,133,2,314,10,0,745.6796880445281
2022-12-27,C4_TRIGGER,743958.6989213289,190181.61892132898,0.0,20,0.06504554630541017,5315.015637925003,0.00017182539682539683,1,0,151,80,133,2,314,10,0,743.9167798011971
2022-12-28,C4_TRIGGER,732801.5869534691,190214.29695346905,0.0,20,0.06657463748519117,5315.015637925003,0.00017182539682539683,1,0,151,80,133,0,314,10,0,732.7602964923175
2022-12-29,C4_TRIGGER,749923.724578025,190246.98060052496,38134.5539775,20,0.06546825815868935,5324.551660425003,0.00017182539682539683,1,0,151,80,134,1,315,10,0,749.881469352371
2022-12-30,C4_TRIGGER,751344.0295508314,228420.77632583145,522616.413225,11,7.853925456129247e-05,5455.238435425003,0.00017182539682539683,1,1,151,80,134,1,315,10,0,751.301694296629
2023-01-03,C4_TRIGGER,751469.0368139568,751166.2368139568,0.0,11,7.915163111999999e-05,5455.238435425003,0.00017182539682539683,1,0,151,80,134,0,315,10,0,751.4266945160912
2023-01-04,C4_TRIGGER,751284.8776566666,123.86042166660836,147.023235,20,0.05001203819940431,5642.9888714250055,0.00017182539682539683,1,0,151,80,134,0,315,10,1,751.2425457354386
2023-01-05,C4_TRIGGER,749362.7402013585,270.9302013584086,0.0,20,0.05398693827388493,5642.9888714250055,0.00017182539682539683,1,0,151,80,134,0,315,10,0,749.3205165849477
2023-01-06,C4_TRIGGER,764510.4166756729,270.976754047769,763791.7178216251,13,0.0003677124521368806,5833.984549800006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,764.4673395478094
2023-01-09,C4_TRIGGER,764644.0224126178,764193.9799513678,450.04246125,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,764.6009377566013
