ticker,value_start,value_end,delta_value,delta_pct_of_total,from_date,to_date,window_type
EXPI,7581.22,8057.639999999999,476.41999999999916,-1.4523791160065005,2020-10-28,2020-11-05,dd_gt_10pct
DAC,8064.37,8666.61,602.2400000000007,-1.8359447521593495,2020-10-28,2020-11-05,dd_gt_10pct
KURA,7418.1,8276.04,857.9400000000005,-2.6154530430851346,2020-10-28,2020-11-05,dd_gt_10pct
LOB,7502.94,8924.25,1421.3100000000004,-4.332901560327449,2020-10-28,2020-11-05,dd_gt_10pct
APPS,7417.41,10339.42,2922.01,-8.907825659632596,2020-10-28,2020-11-05,dd_gt_10pct
SI,19080.600000000002,0.0,-19080.600000000002,-194.80276839924758,2021-02-23,2021-03-12,dd_gt_10pct
MGNI,19031.92,0.0,-19031.92,-194.3057715141561,2021-02-23,2021-03-12,dd_gt_10pct
GSM,16880.25,0.0,-16880.25,-172.33836626056825,2021-02-23,2021-03-12,dd_gt_10pct
DDD,16863.0,0.0,-16863.0,-172.16225294364492,2021-02-23,2021-03-12,dd_gt_10pct
CLNE,16878.78,29.74,-16849.039999999997,-172.0197287752826,2021-02-23,2021-03-12,dd_gt_10pct
MSTR,16589.52,0.0,-16589.52,-169.37016773134414,2021-02-23,2021-03-12,dd_gt_10pct
AREC,12552.68,0.0,-12552.68,-128.156180352288,2021-02-23,2021-03-12,dd_gt_10pct
TIGR,20257.52,19870.379999999997,-387.14000000000306,-3.9524933051416253,2021-02-23,2021-03-12,dd_gt_10pct
GSAT,16880.36,16631.3,-249.0600000000013,-2.5427700123432624,2021-02-23,2021-03-12,dd_gt_10pct
CLPT,24.16,0.0,-24.16,-0.24666073836911948,2021-02-23,2021-03-12,dd_gt_10pct
DNN,1.1,0.0,-1.1,-0.0112304144125013,2021-02-23,2021-03-12,dd_gt_10pct
SB,0.0,5.72,5.72,0.05839815494500675,2021-02-23,2021-03-12,dd_gt_10pct
LXRX,15073.44,16000.23,926.789999999999,9.462032521238244,2021-02-23,2021-03-12,dd_gt_10pct
GEVO,16878.960000000003,18977.899999999998,2098.939999999995,21.42906002452311,2021-02-23,2021-03-12,dd_gt_10pct
OCGN,16879.35,19650.0,2770.6500000000015,28.286861538178854,2021-02-23,2021-03-12,dd_gt_10pct
MARA,18821.04,21855.9,3034.8600000000006,30.98430498538518,2021-02-23,2021-03-12,dd_gt_10pct
ACRS,16879.06,20243.63,3364.5699999999997,34.35046856351772,2021-02-23,2021-03-12,dd_gt_10pct
KOPN,16878.96,20525.399999999998,3646.4399999999987,37.228211209382934,2021-02-23,2021-03-12,dd_gt_10pct
TTI,16878.780000000002,20699.079999999998,3820.2999999999956,39.00322925461697,2021-02-23,2021-03-12,dd_gt_10pct
RIOT,16836.0,21669.45,4833.450000000001,49.3469514019131,2021-02-23,2021-03-12,dd_gt_10pct
CTRN,0.0,10135.199999999999,10135.199999999999,103.47499650325742,2021-02-23,2021-03-12,dd_gt_10pct
GME,0.0,17457.0,17457.0,178.22667672639562,2021-02-23,2021-03-12,dd_gt_10pct
ORGO,0.0,18606.0,18606.0,189.95735505363564,2021-02-23,2021-03-12,dd_gt_10pct
DAC,0.0,18805.62,18805.62,191.99536898547515,2021-02-23,2021-03-12,dd_gt_10pct
REI,0.0,19370.239999999998,19370.239999999998,197.75983860873558,2021-02-23,2021-03-12,dd_gt_10pct
SM,0.0,19427.52,19427.52,198.3446369155975,2021-02-23,2021-03-12,dd_gt_10pct
MARA,20599.32,0.0,-20599.32,979.5253424885497,2021-03-16,2021-05-27,dd_gt_10pct
TTI,20143.399999999998,0.0,-20143.399999999998,957.8457339312097,2021-03-16,2021-05-27,dd_gt_10pct
RIOT,19658.1,0.0,-19658.1,934.7690668999828,2021-03-16,2021-05-27,dd_gt_10pct
REI,19566.56,0.0,-19566.56,930.4162169102066,2021-03-16,2021-05-27,dd_gt_10pct
DAC,19231.14,63.13,-19168.01,911.4646289330882,2021-03-16,2021-05-27,dd_gt_10pct
ACRS,19079.280000000002,0.0,-19079.280000000002,907.2453982187245,2021-03-16,2021-05-27,dd_gt_10pct
SM,19026.21,0.0,-19026.21,904.7218484158246,2021-03-16,2021-05-27,dd_gt_10pct
KOPN,18767.7,0.0,-18767.7,892.4293505912989,2021-03-16,2021-05-27,dd_gt_10pct
OCGN,17940.45,0.0,-17940.45,853.0925016286315,2021-03-16,2021-05-27,dd_gt_10pct
ORGO,17913.0,0.0,-17913.0,851.7872172478212,2021-03-16,2021-05-27,dd_gt_10pct
TIGR,17802.989999999998,0.0,-17802.989999999998,846.5560939424322,2021-03-16,2021-05-27,dd_gt_10pct
GEVO,17286.8,0.0,-17286.8,822.0105659085377,2021-03-16,2021-05-27,dd_gt_10pct
GSAT,16734.600000000002,0.0,-16734.600000000002,795.752713992932,2021-03-16,2021-05-27,dd_gt_10pct
LXRX,15511.140000000001,0.0,-15511.140000000001,737.5755471970842,2021-03-16,2021-05-27,dd_gt_10pct
CTRN,10887.6,86.45,-10801.15,513.6091945277901,2021-03-16,2021-05-27,dd_gt_10pct
CLNE,29.93,0.0,-29.93,1.4232117128469428,2021-03-16,2021-05-27,dd_gt_10pct
SB,5.38,0.0,-5.38,0.25582622837008195,2021-03-16,2021-05-27,dd_gt_10pct
ANF,0.0,43.9,43.9,-2.087503982425018,2021-03-16,2021-05-27,dd_gt_10pct
OLN,0.0,147.72,147.72,-7.024284471157715,2021-03-16,2021-05-27,dd_gt_10pct
DDS,0.0,7190.639999999999,7190.639999999999,-341.92459307937656,2021-03-16,2021-05-27,dd_gt_10pct
GME,13739.22,23888.22,10149.000000000002,-482.59858582304133,2021-03-16,2021-05-27,dd_gt_10pct
GNK,0.0,15874.6,15874.6,-754.8585585285693,2021-03-16,2021-05-27,dd_gt_10pct
SFBS,0.0,16383.81,16383.81,-779.0721781843926,2021-03-16,2021-05-27,dd_gt_10pct
CAR,0.0,16625.7,16625.7,-790.5743726788982,2021-03-16,2021-05-27,dd_gt_10pct
IMO,0.0,16875.76,16875.76,-802.4650616503149,2021-03-16,2021-05-27,dd_gt_10pct
MVBF,0.0,17005.379999999997,17005.379999999997,-808.6286668029784,2021-03-16,2021-05-27,dd_gt_10pct
MTW,0.0,17160.920000000002,17160.920000000002,-816.0248027808005,2021-03-16,2021-05-27,dd_gt_10pct
GDEN,0.0,17232.75,17232.75,-819.440415788946,2021-03-16,2021-05-27,dd_gt_10pct
AA,0.0,17281.43,17281.43,-821.7552151936034,2021-03-16,2021-05-27,dd_gt_10pct
NEWT,0.0,17544.9,17544.9,-834.2835676822028,2021-03-16,2021-05-27,dd_gt_10pct
UAN,0.0,20360.48,20360.48,-968.168179591912,2021-03-16,2021-05-27,dd_gt_10pct
HOV,0.0,21016.699999999997,21016.699999999997,-999.3723222649629,2021-03-16,2021-05-27,dd_gt_10pct
TGLS,0.0,23409.98,23409.98,-1113.1760017879276,2021-03-16,2021-05-27,dd_gt_10pct
AMC,0.0,33627.36,33627.36,-1599.0261484838215,2021-03-16,2021-05-27,dd_gt_10pct
RNGR,18586.6,0.0,-18586.6,59.868053600567414,2021-07-16,2021-07-20,dd_gt_10pct
TEN,16272.359999999999,16.96,-16255.4,52.35918126492547,2021-07-16,2021-07-20,dd_gt_10pct
GNK,18286.62,13838.000000000002,-4448.619999999997,14.329152217649064,2021-07-16,2021-07-20,dd_gt_10pct
PRTA,19666.7,19134.02,-532.6800000000003,1.7157799055206586,2021-07-16,2021-07-20,dd_gt_10pct
AMR,18773.14,18251.88,-521.2599999999984,1.6789957076513016,2021-07-16,2021-07-20,dd_gt_10pct
DDS,18738.0,18426.96,-311.0400000000009,1.001870131811119,2021-07-16,2021-07-20,dd_gt_10pct
PDS,34.69,32.54,-2.1499999999999986,0.006925221140026679,2021-07-16,2021-07-20,dd_gt_10pct
RRC,14.87,14.78,-0.08999999999999986,0.0002898929779546049,2021-07-16,2021-07-20,dd_gt_10pct
FLNG,13.39,13.42,0.02999999999999936,-9.663099265153306e-05,2021-07-16,2021-07-20,dd_gt_10pct
GSM,10.1,10.4,0.3000000000000007,-0.0009663099265153535,2021-07-16,2021-07-20,dd_gt_10pct
ESEA,18.19,18.51,0.3200000000000003,-0.0010307305882830422,2021-07-16,2021-07-20,dd_gt_10pct
BBW,18772.75,18871.23,98.47999999999956,-0.3172073385441046,2021-07-16,2021-07-20,dd_gt_10pct
IDT,18593.260000000002,19047.559999999998,454.29999999999563,-1.4633153320530663,2021-07-16,2021-07-20,dd_gt_10pct
ASPN,18579.0,19333.420000000002,754.4200000000019,-2.430011782539044,2021-07-16,2021-07-20,dd_gt_10pct
CLDX,12273.28,13121.900000000001,848.6200000000008,-2.7334330994648606,2021-07-16,2021-07-20,dd_gt_10pct
PTGX,17961.44,18972.8,1011.3600000000006,-3.2576240242685537,2021-07-16,2021-07-20,dd_gt_10pct
BTU,22315.02,23339.82,1024.7999999999993,-3.300914708976438,2021-07-16,2021-07-20,dd_gt_10pct
ASAN,21573.36,22675.6,1102.239999999998,-3.5503515113409296,2021-07-16,2021-07-20,dd_gt_10pct
AMC,18563.760000000002,22880.79,4317.029999999999,-13.905296473548553,2021-07-16,2021-07-20,dd_gt_10pct
SI,25709.640000000003,0.0,-25709.640000000003,32.85703386162203,2021-11-22,2021-11-29,dd_gt_10pct
DOCN,25705.0,0.0,-25705.0,32.851103921058176,2021-11-22,2021-11-29,dd_gt_10pct
NET,25170.75,191.09,-24979.66,31.924116186450107,2021-11-22,2021-11-29,dd_gt_10pct
ASAN,10184.64,108.91,-10075.73,12.87682759426273,2021-11-22,2021-11-29,dd_gt_10pct
CCXI,28081.68,26789.399999999998,-1292.2800000000025,1.6515395672089144,2021-11-22,2021-11-29,dd_gt_10pct
PBT,25735.44,25107.079999999998,-628.3600000000006,0.8030468648059185,2021-11-22,2021-11-29,dd_gt_10pct
LEU,25734.149999999998,25178.05,-556.0999999999985,0.71069826455944,2021-11-22,2021-11-29,dd_gt_10pct
WFRD,26219.4,25863.399999999998,-356.00000000000364,0.45496957774350627,2021-11-22,2021-11-29,dd_gt_10pct
AUPH,19.65,0.0,-19.65,0.025112787086123054,2021-11-22,2021-11-29,dd_gt_10pct
TVTX,29.39,28.47,-0.9200000000000017,0.0011757640773146694,2021-11-22,2021-11-29,dd_gt_10pct
SM,30.4,30.2,-0.1999999999999993,0.00025560088637275284,2021-11-22,2021-11-29,dd_gt_10pct
HUT,12.41,12.75,0.33999999999999986,-0.0004345215068336812,2021-11-22,2021-11-29,dd_gt_10pct
AFRM,123.51,132.15,8.64,-0.011041958291302962,2021-11-22,2021-11-29,dd_gt_10pct
AMBA,25567.530000000002,25640.85,73.31999999999607,-0.0937032849442465,2021-11-22,2021-11-29,dd_gt_10pct
CAR,25937.600000000002,26243.760000000002,306.15999999999985,-0.39127383685941125,2021-11-22,2021-11-29,dd_gt_10pct
AEHR,26165.04,26586.12,421.0799999999981,-0.5381421061691933,2021-11-22,2021-11-29,dd_gt_10pct
ENVX,25719.36,26218.48,499.119999999999,-0.6378775720318429,2021-11-22,2021-11-29,dd_gt_10pct
LCID,25713.359999999997,27695.18,1981.8200000000033,-2.5327747431562586,2021-11-22,2021-11-29,dd_gt_10pct
CLMT,25733.6,28053.010000000002,2319.4100000000035,-2.9642162593091483,2021-11-22,2021-11-29,dd_gt_10pct
REAX,25740.45,28127.97,2387.5200000000004,-3.0512611411633856,2021-11-22,2021-11-29,dd_gt_10pct
LAC,25715.739999999998,28794.88,3079.140000000003,-3.9351545663290084,2021-11-22,2021-11-29,dd_gt_10pct
REAX,28053.359999999997,0.0,-28053.359999999997,-52.315557995619834,2021-11-30,2022-04-14,dd_gt_10pct
LAC,27634.93,0.0,-27634.93,-51.53524508721573,2021-11-30,2022-04-14,dd_gt_10pct
LCID,26648.94,0.0,-26648.94,-49.69651286305074,2021-11-30,2022-04-14,dd_gt_10pct
CCXI,26339.280000000002,0.0,-26339.280000000002,-49.11904065690776,2021-11-30,2022-04-14,dd_gt_10pct
ENVX,25690.0,0.0,-25690.0,-47.90822507205816,2021-11-30,2022-04-14,dd_gt_10pct
WFRD,25587.5,0.0,-25587.5,-47.71707703508323,2021-11-30,2022-04-14,dd_gt_10pct
AMBA,25312.32,0.0,-25312.32,-47.2039051637197,2021-11-30,2022-04-14,dd_gt_10pct
AEHR,25293.840000000004,0.0,-25293.840000000004,-47.1694425712973,2021-11-30,2022-04-14,dd_gt_10pct
CLMT,25022.539999999997,0.0,-25022.539999999997,-46.66350635245535,2021-11-30,2022-04-14,dd_gt_10pct
PBT,24806.56,0.0,-24806.56,-46.26073412781297,2021-11-30,2022-04-14,dd_gt_10pct
CAR,23614.739999999998,0.0,-23614.739999999998,-44.03815799681334,2021-11-30,2022-04-14,dd_gt_10pct
LEU,23028.350000000002,0.0,-23028.350000000002,-42.944623388015984,2021-11-30,2022-04-14,dd_gt_10pct
NET,188.24,0.0,-188.24,-0.351041038830838,2021-11-30,2022-04-14,dd_gt_10pct
AFRM,126.68,0.0,-126.68,-0.23624032511204077,2021-11-30,2022-04-14,dd_gt_10pct
ASAN,103.95,0.0,-103.95,-0.19385208237603915,2021-11-30,2022-04-14,dd_gt_10pct
SM,29.0,0.0,-29.0,-0.05408090802217542,2021-11-30,2022-04-14,dd_gt_10pct
TVTX,28.55,0.0,-28.55,-0.05324172151838305,2021-11-30,2022-04-14,dd_gt_10pct
HUT,12.05,0.0,-12.05,-0.022471549712662547,2021-11-30,2022-04-14,dd_gt_10pct
TH,0.0,5.87,5.87,0.010946721727247232,2021-11-30,2022-04-14,dd_gt_10pct
EOLS,0.0,11.28,11.28,0.021035608361728922,2021-11-30,2022-04-14,dd_gt_10pct
VET,0.0,21.79,21.79,0.040635275372524225,2021-11-30,2022-04-14,dd_gt_10pct
CNQ,0.0,65.78,65.78,0.1226704182654724,2021-11-30,2022-04-14,dd_gt_10pct
EGY,0.0,19883.8,19883.8,37.08048134245971,2021-11-30,2022-04-14,dd_gt_10pct
