date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt
2022-02-04,C1,EGY,rebalance_sell,,,1.0,4,20.754810000000003,0.00519,2022-02-07
2022-02-04,C1,LEE,rebalance_sell,,,1.0,127,4315.6508175,1.0791825000000002,2022-02-07
2022-02-04,C1,RGC,rebalance_sell,,,1.0,1,35.571104999999996,0.008895,2022-02-07
2022-02-07,C1,BATL,defensive_sell,6.0,-3.8370235377489372,1.0,492,8352.071460000001,2.08854,2022-02-08
2022-02-07,C1,BATL,rebalance_sell,,,1.0,1,16.975755,0.0042450000000000005,2022-02-08
2022-02-07,C1,CPSS,rebalance_sell,,,1.0,1,11.267182499999999,0.0028175,2022-02-08
2022-02-07,C1,LEE,rebalance_sell,,,1.0,1,32.9217675,0.0082325,2022-02-08
2022-02-08,C1,DAC,rebalance_sell,,,1.0,68,6522.28902,1.63098,2022-02-09
2022-02-08,C1,UG,rebalance_sell,,,1.0,463,8452.266405,2.113595,2022-02-09
2022-02-09,C1,SRTS,rebalance_sell,,,1.0,1097,8488.657304999999,2.1226949999999998,2022-02-10
2022-02-09,C1,VALU,rebalance_sell,,,1.0,167,10080.939135,2.520865,2022-02-10
2022-02-09,C1,ZIM,rebalance_sell,,,1.0,109,7963.72857,1.99143,2022-02-10
2022-02-10,C1,ARCO,rebalance_sell,,,1.0,1292,8925.48807,2.2319299999999997,2022-02-11
2022-02-10,C1,BCBP,rebalance_sell,,,1.0,1,18.55536,0.00464,2022-02-11
2022-02-10,C1,FNWB,rebalance_sell,,,1.0,361,8170.9967400000005,2.04326,2022-02-11
2022-02-10,C1,JXN,rebalance_sell,,,1.0,145,6304.4734875,1.5765125,2022-02-11
2022-02-10,C1,SRTS,rebalance_sell,,,1.0,2,15.71607,0.00393,2022-02-11
2022-02-11,C1,CPSS,defensive_sell,5.0,-2.7565378504979203,0.5,333,3578.8550625,0.8949375,2022-02-14
2022-02-11,C1,ARCO,rebalance_sell,,,1.0,1,6.938265,0.0017350000000000002,2022-02-14
2022-02-11,C1,CPSS,rebalance_sell,,,1.0,334,3589.602375,0.897625,2022-02-14
2022-02-11,C1,FNWB,rebalance_sell,,,1.0,1,22.264432499999998,0.0055675,2022-02-14
2022-02-11,C1,JXN,rebalance_sell,,,1.0,1,42.129465,0.010535000000000001,2022-02-14
2022-02-11,C1,MDRX,rebalance_sell,,,1.0,432,9298.63476,2.3252400000000004,2022-02-14
