date,equity,top1_ticker,top1_weight_pct,n_tickers,n_positions_gt_10pct,max_concentration_pct,trim_events_today,regime_defensive_used
2023-08-23,442169.174752449,AAOI,6.511023753774357,16,0,6.511023753774357,0,0
2023-08-24,436974.97905266384,AAOI,6.0039089782388,21,0,6.0039089782388,1,1
2023-08-25,440414.833880716,VRT,5.6707899186620825,21,0,5.6707899186620825,0,1
2023-08-28,444639.75419233984,CVNA,5.897776740101431,21,0,5.897776740101431,0,1
2023-08-29,451489.3313963086,CVNA,6.068183253692714,21,0,6.068183253692714,0,1
2023-08-30,454257.7263594404,CVNA,6.325127418364468,21,0,6.325127418364468,0,0
2023-08-31,449747.259482763,CVNA,6.470812080871695,21,0,6.470812080871695,0,0
2023-09-01,451583.4829673044,CVNA,6.5084975665790665,21,0,6.5084975665790665,0,1
2023-09-05,445386.1004768427,CVNA,6.467988104962834,20,0,6.467988104962834,0,1
2023-09-06,439772.33880299516,CVNA,6.638612169074687,20,0,6.638612169074687,0,1
2023-09-07,436155.51199347613,CVNA,6.312000936127522,20,0,6.312000936127522,0,1
2023-09-08,435163.3595275376,VRT,5.999402162062753,19,0,5.999402162062753,0,1
2023-09-11,433812.36992858065,VRT,6.018085654011682,19,0,6.018085654011682,0,1
2023-09-12,423367.19758877053,TTI,6.295818417630518,18,0,6.295818417630518,0,1
2023-09-13,413495.21090378595,TTI,6.118358649113041,18,0,6.118358649113041,0,1
2023-09-14,419965.98585637205,TTI,6.307689406317683,18,0,6.307689406317683,0,1
2023-09-15,419242.483936087,TTI,6.298982334057983,18,0,6.298982334057983,0,1
2023-09-18,417061.03824439575,TTI,6.223607007085081,18,0,6.223607007085081,0,0
2023-09-19,414966.73778276367,VRT,6.108431758997931,18,0,6.108431758997931,0,0
2023-09-20,409984.6220526567,TTI,6.1507136228054025,18,0,6.1507136228054025,0,1
2023-09-21,404807.203715541,TTI,6.209089109407824,18,0,6.209089109407824,0,1
2023-09-22,404993.3856055826,TTI,6.000994303563507,21,0,6.000994303563507,1,1
2023-09-25,403882.2568338913,CAMT,6.354265275524343,21,0,6.354265275524343,0,1
2023-09-26,402967.48664051044,CAMT,6.051555226775582,20,0,6.051555226775582,0,0
2023-09-27,407609.95870762144,CAMT,6.198499192735151,20,0,6.198499192735151,0,0
2023-09-28,414142.08653664554,CAMT,6.445732242100425,20,0,6.445732242100425,0,0
2023-09-29,416895.90012880205,GRPN,6.592552239422038,20,0,6.592552239422038,0,0
2023-10-02,409852.78128530935,GRPN,6.894060816518066,20,0,6.894060816518066,0,0
2023-10-03,401231.710607387,GRPN,6.344677982072566,20,0,6.344677982072566,0,1
2023-10-04,398839.41489625437,CAMT,6.390484252071689,20,0,6.390484252071689,0,1
2023-10-05,401032.36020063114,GRPN,6.4999293291342175,19,0,6.4999293291342175,0,1
2023-10-06,404010.8978584709,CAMT,6.003647458167554,17,0,6.003647458167554,3,1
2023-10-09,403593.627822879,GRPN,6.259365425632203,17,0,6.259365425632203,0,0
2023-10-10,396423.5824087282,CLS,6.032411052514993,17,0,6.032411052514993,0,0
2023-10-11,392694.9216169955,CLS,6.194885306850668,17,0,6.194885306850668,0,1
2023-10-12,386435.38544865896,CLS,6.342742130496854,17,0,6.342742130496854,0,1
2023-10-13,388799.2903096963,CLS,6.11765005565053,16,0,6.11765005565053,0,1
2023-10-16,390293.70028849994,CLS,6.308264771324944,16,0,6.308264771324944,0,1
2023-10-17,394807.02571362833,CLS,6.340783818309811,16,0,6.340783818309811,0,0
2023-10-18,391435.41658623365,CLS,6.142116676533134,16,0,6.142116676533134,0,0
2023-10-19,387144.032907468,CLS,6.177003380474601,16,0,6.177003380474601,0,1
2023-10-20,381794.18300237233,CLS,6.003045887123322,19,0,6.003045887123322,1,1
2023-10-23,380320.3736786859,CLS,6.002960025299185,19,0,6.002960025299185,0,1
2023-10-24,388013.5588840474,CLS,5.952596106803111,18,0,5.952596106803111,0,1
2023-10-25,385462.2489166884,TSHA,5.882908135292166,18,0,5.882908135292166,0,0
