date,variant,ticker,event,weight_before,weight_cap,value_sold_gross,proceeds_net,trade_cost,sold_shares,settle_dt
2021-09-27,C4,SD,concentration_trim,0.061126471051442796,0.06,545.5114158705364,533.4666,0.13340000000000002,40,2021-09-28
2021-10-11,C4,AEHR,concentration_trim,0.07833562953948688,0.06,8953.070714246041,8934.76575,2.23425,450,2021-10-12
2021-10-11,C4,AMR,concentration_trim,0.06300582903748654,0.06,1467.7107142460409,1464.63375,0.36625,25,2021-10-12
2021-10-25,C4,AEHR,concentration_trim,0.06032806703108629,0.06,170.72496228781893,170.11746,0.04254,8,2021-10-26
2021-10-25,C4,AMR,concentration_trim,0.06244276192708628,0.06,1271.2049622878149,1234.5012975,0.3087025,19,2021-10-26
2021-11-08,C4,AEHR,concentration_trim,0.060683014941608,0.06,390.93436652587843,378.46536,0.09464,16,2021-11-09
2021-11-08,C4,HUT,concentration_trim,0.06336490143059674,0.06,1925.9543665258825,1923.4190250000001,0.48097500000000004,121,2021-11-09
2021-11-08,C4,LEU,concentration_trim,0.07034356835173924,0.06,5920.304366525881,5903.6537175,1.4762825000000002,77,2021-11-09
2022-01-05,C4,PBT,concentration_trim,0.06064303654506785,0.06,314.98390762932104,309.3526425,0.07735750000000001,29,2022-01-06
2022-03-04,C4,AMR,concentration_trim,0.062434731241710915,0.06,1118.7703533084423,1045.0886625,0.26133750000000006,9,2022-03-07
2022-04-01,C4,PDS,concentration_trim,0.06238008597613675,0.06,1133.5603601213516,1060.7947350000002,0.26526500000000003,14,2022-04-04
2022-04-01,C4,RES,concentration_trim,0.06231839810450774,0.06,1104.1803601213505,1093.6765125,0.2734875,99,2022-04-04
2022-04-18,C4,BTU,concentration_trim,0.06159162655069292,0.06,835.4617084873571,832.051935,0.208065,26,2022-04-19
2022-04-18,C4,RES,concentration_trim,0.06150715502968749,0.06,791.1217084873606,786.04344,0.19656,63,2022-04-19
2022-04-18,C4,TRVI,concentration_trim,0.06070747605681333,0.06,371.36170848735856,369.4176225,0.0923775,109,2022-04-19
2022-05-02,C4,STNG,concentration_trim,0.06278195409478567,0.06,1320.9461673509868,1315.9809225,0.32907749999999997,51,2022-05-03
2022-05-16,C4,LNTH,concentration_trim,0.06216296138831677,0.06,1003.1261159112546,936.2258850000001,0.23411500000000002,14,2022-05-17
2022-06-14,C4,PBF,concentration_trim,0.06050519684553248,0.06,239.82648669668924,233.46162,0.05838,6,2022-06-15
2022-07-28,C4,SIGA,concentration_trim,0.0661863657900116,0.06,2790.943508357843,2770.70715,0.6928500000000001,124,2022-07-29
2022-07-28,C4,STNG,concentration_trim,0.0635972162316787,0.06,1622.863508357841,1587.12312,0.39688,41,2022-07-29
2022-08-11,C4,ARRY,concentration_trim,0.0633677774104453,0.06,1586.7060943069846,1576.5457649999998,0.39423499999999995,74,2022-08-12
2022-08-25,C4,ALT,concentration_trim,0.07288898147931973,0.06,6289.760547543017,6274.291034999999,1.568965,334,2022-08-26
2022-09-09,C4,ALT,concentration_trim,0.06490627381259806,0.06,2354.5434190318338,2337.075585,0.584415,117,2022-09-12
2022-09-09,C4,DYN,concentration_trim,0.06990451711262685,0.06,4753.223419031834,4740.194655,1.185345,318,2022-09-12
2022-10-07,C4,ARDX,concentration_trim,0.0652921913223531,0.06,2438.5492170507896,2437.5404625,0.6095375000000001,1573,2022-10-10
2022-10-21,C4,ARDX,concentration_trim,0.0602150435901876,0.06,94.27684160683566,93.21669,0.02331,63,2022-10-24
2022-10-21,C4,INSW,concentration_trim,0.061879885272736565,0.06,824.1568416068367,807.1981499999999,0.20185,20,2022-10-24
2022-10-21,C4,SGML,concentration_trim,0.06587634471149413,0.06,2576.236841606835,2553.92136,0.63864,72,2022-10-24
2022-11-04,C4,HLX,concentration_trim,0.06764618801510161,0.06,3574.996094055259,3569.58738,0.89262,522,2022-11-07
2022-11-04,C4,IMVT,concentration_trim,0.0653074999362822,0.06,2481.53609405526,2469.6324375,0.6175625,205,2022-11-07
2022-11-04,C4,INSW,concentration_trim,0.06268255537577237,0.06,1254.2360940552608,1213.3465875000002,0.30341250000000003,27,2022-11-07
2022-11-18,C4,HLX,concentration_trim,0.06061581076266568,0.06,277.54361565134604,272.991735,0.068265,41,2022-11-21
2022-11-18,C4,IMVT,concentration_trim,0.0682117910370565,0.06,3701.0236156513456,3695.076,0.924,280,2022-11-21
2022-11-18,C4,INSW,concentration_trim,0.06365151369997393,0.06,1645.7236156513463,1606.098375,0.401625,35,2022-11-21
2022-12-05,C4,IMVT,concentration_trim,0.0655735164921668,0.06,2500.9051149356783,2498.01534,0.62466,174,2022-12-06
2022-12-19,C4,IMVT,concentration_trim,0.06602889339196923,0.06,2663.8787305815313,2660.09481,0.6651900000000001,171,2022-12-20
2023-01-04,C4,IMVT,concentration_trim,0.0694303357932034,0.06,4279.4148872907135,4270.1222025,1.0677975,231,2023-01-05
2023-01-19,C4,EVER,concentration_trim,0.06364360624065664,0.06,1638.5085595287237,1633.9914,0.4086,90,2023-01-20
2023-01-19,C4,OII,concentration_trim,0.06231374694426907,0.06,1040.4785595287249,1039.66002,0.25998000000000004,56,2023-01-20
2023-02-16,C4,SVRA,concentration_trim,0.06149419936443939,0.06,681.5095705142048,679.450095,0.169905,241,2023-02-17
2023-03-03,C4,NGL,concentration_trim,0.06512151186486159,0.06,2302.012658192063,2300.98461,0.57539,652,2023-03-06
2023-03-17,C4,PTGX,concentration_trim,0.0773054947556102,0.06,7332.625085949963,7329.507165,1.832835,327,2023-03-20
2023-04-17,C4,RIOT,concentration_trim,0.06463985858820821,0.06,2051.1392507874807,2042.429265,0.510735,158,2023-04-18
2023-06-13,C4,SYM,concentration_trim,0.060370032720777525,0.06,152.16856461764837,140.75480249999998,0.0351975,3,2023-06-14
2023-06-28,C4,BTBT,concentration_trim,0.07461432289906839,0.06,5806.421208188807,5800.609484999999,1.450515,1298,2023-06-29
2023-06-28,C4,CVNA,concentration_trim,0.061660166339206,0.06,659.6012081888111,644.5288275,0.16117250000000002,23,2023-06-29
2023-06-28,C4,NERV,concentration_trim,0.08602157775619172,0.06,10338.641208188805,10330.076835,2.583165,1014,2023-06-29
2023-07-13,C4,AAOI,concentration_trim,0.0951243946032582,0.06,15122.775567091816,15112.101030000002,3.77897,1418,2023-07-14
2023-07-13,C4,CVNA,concentration_trim,0.07447624892302722,0.06,6232.735567091815,6215.6457,1.5543,165,2023-07-14
2023-07-13,C4,NERV,concentration_trim,0.06413206223172649,0.06,1779.0555670918147,1769.5575,0.4425,150,2023-07-14
2023-07-27,C4,CVNA,concentration_trim,0.06612388654072773,0.06,2570.5068048241556,2548.342755,0.6372450000000001,63,2023-07-28
2023-08-10,C4,AAOI,concentration_trim,0.10835643188731288,0.06,21845.72406035589,21827.821679999997,5.4583200000000005,1512,2023-08-11
2023-08-10,C4,BVS,concentration_trim,0.06633999225865304,0.06,2864.184060355892,2860.104795,0.7152050000000001,626,2023-08-11
2023-08-24,C4,AAOI,concentration_trim,0.06054532279590831,0.06,238.3305058530641,225.38363999999999,0.05636,16,2023-08-25
2023-09-22,C4,TTI,concentration_trim,0.06256297619549972,0.06,1038.094855917545,1036.30086,0.25914,168,2023-09-25
2023-10-06,C4,CAMT,concentration_trim,0.06567311277349717,0.06,2292.225430282131,2279.31003,0.5699700000000001,36,2023-10-09
2023-10-06,C4,CLS,concentration_trim,0.06453778507483098,0.06,1833.4954302821316,1822.524255,0.455745,69,2023-10-09
2023-10-06,C4,GRPN,concentration_trim,0.06478013087356528,0.06,1931.4154302821298,1925.39853,0.48146999999999995,132,2023-10-09
2023-10-20,C4,CLS,concentration_trim,0.062053533711486815,0.06,784.0901616019182,774.106425,0.193575,30,2023-10-23
2023-11-17,C4,ANF,concentration_trim,0.06076363654204641,0.06,289.39301110652013,220.65482249999997,0.0551775,3,2023-11-20
2023-11-17,C4,UEC,concentration_trim,0.06384050116195472,0.06,1455.4230111065262,1449.7174800000003,0.36252000000000006,228,2023-11-20
2023-12-18,C4,SKYH,concentration_trim,0.06889176913600457,0.06,3599.561337535233,3590.22222,0.89778,312,2023-12-19
2023-12-18,C4,SLNO,concentration_trim,0.06323472908208382,0.06,1309.4813375352314,1296.775725,0.324275,34,2023-12-19
2024-01-03,C4,STTK,concentration_trim,0.06568622601611031,0.06,2359.2536811022837,2351.5519649999997,0.588035,317,2024-01-04
2024-01-18,C4,ALT,concentration_trim,0.06893938613042061,0.06,3411.1076923384317,3408.78759,0.85241,316,2024-01-19
2024-01-18,C4,STTK,concentration_trim,0.07444939631542512,0.06,5513.627692338436,5509.33732125,1.37767875,651,2024-01-19
2024-02-01,C4,ABSI,concentration_trim,0.0652729251608321,0.06,2065.485181643431,2063.0841000000005,0.5159000000000001,469,2024-02-02
2024-02-01,C4,STTK,concentration_trim,0.06560250130318997,0.06,2194.5851816434297,2193.951375,0.548625,231,2024-02-02
2024-02-15,C4,ABSI,concentration_trim,0.06441886862128524,0.06,1887.1616795299633,1884.428775,0.471225,366,2024-02-16
2024-02-15,C4,ADCT,concentration_trim,0.06330780686990307,0.06,1412.6616795299597,1411.12713,0.35287,284,2024-02-16
2024-03-01,C4,ABSI,concentration_trim,0.061811229013183026,0.06,796.1208569322225,791.502075,0.19792500000000002,145,2024-03-04
2024-03-01,C4,ARQT,concentration_trim,0.07173705454072422,0.06,5158.9908569322215,5153.971185,1.288815,438,2024-03-04
2024-03-15,C4,SEZL,concentration_trim,0.06529202915022499,0.06,2290.9875496302884,2267.67294,0.56706,39,2024-03-18
2024-03-15,C4,WGS,concentration_trim,0.07154739867503818,0.06,4999.017549630291,4994.91096,1.24904,416,2024-03-18
2024-04-01,C4,CATX,concentration_trim,0.06738687491839028,0.06,3250.051222075792,3249.10752,0.81248,2539,2024-04-02
2024-04-01,C4,SEZL,concentration_trim,0.06934966165808638,0.06,4113.631222075794,4094.5761,1.0239,60,2024-04-02
