date,arm,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,trigger_spc_today,trigger_medio_grave_today,cash_idle_gt5,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day
2025-05-12,A2,SW2,1,-1,95490.16412403274,94525.10892403274,0.0,965.0551999999999,20,0.0006672464844443963,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-13,A2,SW2,1,-1,95528.69433838359,94541.35073838358,0.0,987.3436000000004,20,0.0004034179157339476,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-14,A2,SW2,1,-1,95530.30234349062,94557.59534349063,0.0,972.7069999999998,20,1.6832550521043615e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-15,A2,SW2,1,-1,95536.73873983338,94573.84273983339,0.0,962.8959999999998,20,6.737317235573165e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-16,A2,SW2,1,-1,95561.75372789147,94590.09292789147,0.0,971.6607999999999,20,0.000261802046451905,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-19,A2,SW2,1,-1,95565.13590814456,94606.34590814456,0.0,958.7900000000002,20,3.539198759406281e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-20,A2,SW2,1,-1,95561.10168107244,94622.60168107244,0.0,938.4999999999993,20,-4.221531406261148e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-21,A2,SW2,1,-1,95542.72784715495,94638.86024715495,0.0,903.8675999999995,20,-0.0001922916355937353,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-22,A2,SW2,1,-1,95572.74160687202,94655.12160687202,0.0,917.6200000000005,20,0.000314090325074669,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-23,A2,SW2,1,-1,95595.8037607037,94671.38576070369,0.0,924.4179999999994,20,0.00024127561256710045,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
