date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2026-02-03,ARM_0,192415.251245606,130476.10624560599,0.0,13,0.09036575784632388,775.175901300001,0.00014444444444444446,1,21,21,55,4,89,10,0,192.37456249885523
2026-02-04,ARM_0,187706.4627942859,130494.95279428591,0.0,13,0.07785427194382603,775.175901300001,0.00014444444444444446,1,21,21,55,3,89,10,0,187.66676978305796
2026-02-05,ARM_0,185510.7670652451,130513.8020652451,0.0,13,0.07765047941898535,775.175901300001,0.00014444444444444446,1,21,21,55,2,89,10,0,185.471538362885
2026-02-06,ARM_0,187955.15405887674,130532.65405887675,0.0,13,0.07953359978262327,775.175901300001,0.00014444444444444446,1,21,21,55,0,89,10,0,187.9154084585956
2026-02-09,ARM_0,190041.03425570406,0.5492682040485436,3539.1649875000003,20,0.061397266362487116,808.6857838000009,0.00014444444444444446,1,21,21,55,0,89,10,1,190.00084756850006
2026-02-10,ARM_0,191937.59449526324,3540.225547763206,2363.6189475,20,0.06556849914210311,809.2768363000009,0.00014444444444444446,0,22,21,55,1,90,10,0,191.89700675534235
2026-02-11,ARM_0,194972.2672728014,5904.697272801412,0.0,20,0.0678559068171927,809.2768363000009,0.00014444444444444446,0,22,21,55,1,90,10,0,194.93103781123258
2026-02-12,ARM_0,191394.07017351864,5905.550173518594,0.0,20,0.06586306455874798,809.2768363000009,0.00014444444444444446,1,22,21,55,1,90,10,0,191.35359736899576
2026-02-13,ARM_0,192605.06649493254,5906.403197432547,1906.3332974999998,19,0.06750632388137146,809.7535388000009,0.00014444444444444446,1,22,21,56,1,91,10,0,192.5643376092398
2026-02-17,ARM_0,194082.9950013152,7813.865001315149,0.0,19,0.06742198099277749,809.7535388000009,0.00014444444444444446,1,22,21,56,1,91,10,0,194.0419535881158
2026-02-18,ARM_0,199011.53367070423,7814.993670704229,0.0,19,0.06682788557373835,809.7535388000009,0.00014444444444444446,1,22,21,56,1,91,10,0,198.9694500528954
2026-02-19,ARM_0,201253.90170312335,7816.122503123331,2682.5292,19,0.06639732142789367,810.4243388000009,0.00014444444444444446,0,23,21,56,2,92,10,0,201.2113439069716
2026-02-20,ARM_0,203357.988175036,10500.168175036004,0.0,19,0.06883083436069463,810.4243388000009,0.00014444444444444446,0,23,21,56,2,92,10,0,203.31498544200403
2026-02-23,ARM_0,207653.1848659946,10501.68486599462,0.0,19,0.07346942455924911,810.4243388000009,0.00014444444444444446,1,23,21,56,2,92,10,0,207.60927385688123
2026-02-24,ARM_0,214211.47029346047,0.1901759605164347,85058.26011749999,13,0.06003039885018038,834.3189388000009,0.00014444444444444446,1,23,21,56,0,92,10,1,214.1661724482561
2026-02-25,ARM_0,211212.75651405845,85070.73651405844,0.0,13,0.05988085288379903,834.3189388000009,0.00014444444444444446,1,23,21,56,0,92,10,0,211.16809278649686
2026-02-26,ARM_0,211585.1770593327,85083.0245093327,5308.47255,13,0.06162057371506646,835.6463888000009,0.00014444444444444446,1,23,22,56,1,93,10,0,211.540434578527
2026-02-27,ARM_0,211575.54360890793,90404.55360890794,0.0,13,0.0600598716810528,835.6463888000009,0.00014444444444444446,1,23,22,56,1,93,10,0,211.53080316522258
2026-03-02,ARM_0,216078.67204442923,90417.61204442923,0.0,13,0.06320059203803348,835.6463888000009,0.00014444444444444446,1,23,22,56,0,93,10,0,216.03297935474822
2026-03-03,ARM_0,210726.132366169,90430.67236616899,0.0,13,0.06284526675119728,835.6463888000009,0.00014444444444444446,1,23,22,56,0,93,10,0,210.68157154171195
2026-03-04,ARM_0,212318.90797439968,90443.73457439967,5445.0383999999995,13,0.06507550425827338,837.0079888000008,0.00014444444444444446,1,23,23,56,1,94,10,0,212.27401033649915
2026-03-05,ARM_0,207951.28357494043,95902.62357494043,0.0,13,0.06332406212464886,837.0079888000008,0.00014444444444444446,1,23,23,56,0,94,10,0,207.90730952891704
2026-03-06,ARM_0,206755.5293761235,95916.47617612348,9184.9032,12,0.06918373618912203,839.3047888000008,0.00014444444444444446,1,23,23,57,1,95,10,0,206.7118081881218
2026-03-09,ARM_0,211663.2503414778,105116.56068647782,1281.059655,12,0.07022588935972313,839.6251338000008,0.00014444444444444446,1,24,23,57,2,96,10,0,211.61849135104524
2026-03-10,ARM_0,212863.17947075554,1.9683607555448106,16031.55111,19,0.060030297544980314,870.2262888000006,0.00014444444444444446,0,24,23,57,1,96,10,1,212.81816673945707
2026-03-11,ARM_0,210917.485423568,16035.835423567989,0.0,19,0.06215037114478721,870.2262888000006,0.00014444444444444446,0,24,23,57,1,96,10,0,210.87288413497913
2026-03-12,ARM_0,207801.8117109069,16038.15171090695,0.0,19,0.06324641682279508,870.2262888000006,0.00014444444444444446,1,24,23,57,1,96,10,0,207.75786927268376
2026-03-13,ARM_0,207841.63833282076,16040.468332820748,0.0,19,0.06366577989926497,870.2262888000006,0.00014444444444444446,1,24,23,57,0,96,10,0,207.79768747273226
2026-03-16,ARM_0,211324.4852893577,16042.785289357713,0.0,19,0.06659237797612985,870.2262888000006,0.00014444444444444446,1,24,23,57,0,96,10,0,211.27979793527055
2026-03-17,ARM_0,216196.72258056613,16045.102580566176,0.0,19,0.06662173148638988,870.2262888000006,0.00014444444444444446,1,24,23,57,0,96,10,0,216.1510049275398
2026-03-18,ARM_0,212321.8102064945,16047.42020649448,0.0,19,0.07099506162527491,870.2262888000006,0.00014444444444444446,1,24,23,57,0,96,10,0,212.27691195487864
2026-03-19,ARM_0,216136.87131719096,16049.738167190975,14663.733150000002,18,0.07144454301523796,873.8931388000007,0.00014444444444444446,1,24,24,59,3,99,10,0,216.09116632050493
2026-03-20,ARM_0,209601.63770749234,30717.907707492348,0.0,18,0.06771989071864308,873.8931388000007,0.00014444444444444446,1,24,24,59,1,99,10,0,209.55731467228586
2026-03-23,ARM_0,214802.71473860572,30722.344738605654,0.0,18,0.06540792567308684,873.8931388000007,0.00014444444444444446,1,24,24,59,0,99,10,0,214.75729186695293
2026-03-24,ARM_0,213861.17582872,0.4162362199775469,44810.4245925,20,0.062410205818234255,892.7771088000007,0.00014444444444444446,1,24,24,59,0,99,10,1,213.81595205790777
2026-03-25,ARM_0,216334.78330572858,44817.313505728576,11617.894800000002,20,0.06174638121472295,895.6823088000008,0.00014444444444444446,0,24,24,60,1,100,10,0,216.28903645793804
2026-03-26,ARM_0,213685.93005803938,56443.36005803941,0.0,20,0.06192298199701791,895.6823088000008,0.00014444444444444446,0,24,24,60,1,100,10,0,213.64074334526038
2026-03-27,ARM_0,211595.6079878256,56451.512987825576,0.0,20,0.06073169534189657,895.6823088000008,0.00014444444444444446,1,24,24,60,1,100,10,0,211.5508633012623
