phase,date,ticker,ret_62,late_rocket,forward_logret,split
1,2021-11-03,SM,0.6994771865593447,0,-0.05788489407531461,TRAIN
1,2021-11-03,UPST,0.9492767435477091,1,-0.3770290740525017,TRAIN
1,2021-11-03,UROY,0.6507516215922597,0,-0.011881327886752788,TRAIN
1,2021-11-03,WFRD,0.5908977470974837,0,0.1041596537185807,TRAIN
1,2021-11-17,EGY,0.5689181805977365,0,-0.24453474129552724,TRAIN
1,2021-11-17,ENTA,0.6381417763209544,0,-0.08768383206926077,TRAIN
1,2021-11-17,ENVX,0.9252441065426347,1,-0.06699390059385528,TRAIN
1,2021-11-17,HUT,0.8105705686670469,1,-0.16548566191320552,TRAIN
1,2021-11-17,KOS,0.6849615959735055,0,-0.07981442323012967,TRAIN
1,2021-11-17,LAC,0.6903218765301995,0,0.09241954943762999,TRAIN
1,2021-11-17,LCID,0.9389703323083481,1,-0.08217634633550859,TRAIN
1,2021-11-17,LEU,1.1742390851694802,1,-0.318791626036431,TRAIN
1,2021-11-17,LOB,0.5555347331557092,0,-0.11538956971330976,TRAIN
1,2021-11-17,LQDA,0.6828058267652123,0,-0.15241967714472843,TRAIN
1,2021-11-17,MTDR,0.54791647455513,0,-0.22907325949788399,TRAIN
1,2021-11-17,PBF,0.7384751370009065,0,-0.24555072356415597,TRAIN
1,2021-11-17,PLUG,0.5957514942645983,0,-0.16070579125030027,TRAIN
1,2021-11-17,REAX,0.5585853911415267,0,0.08060899117018025,TRAIN
1,2021-11-17,RRC,0.5806037328276441,0,-0.22920584598975566,TRAIN
1,2021-11-17,RSI,0.5861681564324605,0,-0.26460593664365856,TRAIN
1,2021-11-17,SM,0.8102037359809623,1,-0.235575155656355,TRAIN
1,2021-11-17,UUUU,0.7657724570579041,0,-0.15094094652003442,TRAIN
1,2021-11-17,VET,0.566348141003674,0,-0.02822768062486732,TRAIN
1,2021-11-17,WFRD,0.7670594388467147,0,-0.1607991100287447,TRAIN
1,2021-12-02,ECPG,0.1934280357628488,0,-0.0022114494000256397,TRAIN
1,2021-12-02,ENVX,0.6519500672981103,0,-0.22049954599676092,TRAIN
1,2021-12-02,FMAO,0.2186738859737502,0,0.046128359472660016,TRAIN
1,2021-12-02,HIFS,0.17515676234940064,0,0.017664182001618137,TRAIN
1,2021-12-02,KFRC,0.21678763371890675,0,0.014622518867542181,TRAIN
1,2021-12-02,LAC,0.4638888003515987,0,-0.12468556521915392,TRAIN
1,2021-12-02,LAND,0.21262479011334012,0,0.06425908044703901,TRAIN
1,2021-12-02,LCID,1.0081847744438421,1,-0.22563982044532618,TRAIN
1,2021-12-02,LEU,0.5480656479825506,0,-0.08755224645045226,TRAIN
1,2021-12-02,LOB,0.35573992750782557,0,-0.006099010226473314,TRAIN
1,2021-12-02,MLI,0.21557033415572013,0,0.05766407216728515,TRAIN
1,2021-12-02,NVMI,0.25173487994069127,0,0.016663852672592756,TRAIN
1,2021-12-02,PBT,0.520480358991822,0,-0.023556894126444065,TRAIN
1,2021-12-02,REAX,0.6350833796051846,0,-0.02754995176823063,TRAIN
1,2021-12-02,SAIA,0.24930113808441173,0,0.03554604197786886,TRAIN
1,2021-12-02,VET,0.3488180724435121,0,0.08803334948532293,TRAIN
